,_id,Date,precip,Unnamed: 0,name,lat,lon,text
661,51247,2019-8-22 15:40,0.0,838.0,新城,34.9067,137.5167,新城:  0.0mm
662,51261,2019-8-22 15:40,0.0,839.0,セントレア,34.8583,136.805,セントレア:  0.0mm
663,51271,2019-8-22 15:40,0.0,827.0,一色,34.8117,137.0283,一色:  0.0mm
664,51281,2019-8-22 15:40,0.0,836.0,蒲郡,34.845,137.2167,蒲郡:  0.0mm
665,51311,2019-8-22 15:40,0.0,833.0,南知多,34.74,136.9383,南知多:  0.0mm
666,51331,2019-8-22 15:40,0.0,828.0,豊橋,34.75,137.3417,豊橋:  0.0mm
667,51346,2019-8-22 15:40,0.0,829.0,伊良湖,34.6283,137.0933,伊良湖:  0.0mm
668,51356,2019-8-22 15:40,0.0,830.0,田原,34.6267,137.2217,田原:  0.0mm
669,52041,2019-8-22 15:40,0.0,877.0,河合,36.305,137.1,河合:  0.0mm
670,52051,2019-8-22 15:40,0.0,841.0,神岡,36.3217,137.3083,神岡:  0.0mm
671,52081,2019-8-22 15:40,0.0,876.0,白川,36.2733,136.8967,白川:  0.0mm
672,52111,2019-8-22 15:40,0.0,870.0,栃尾,36.2483,137.5033,栃尾:  0.0mm
673,52131,2019-8-22 15:40,0.0,882.0,御母衣,36.1467,136.9083,御母衣:  0.0mm
674,52137,2019-8-22 15:40,0.0,886.0,清見,36.18,137.045,清見:  0.0mm
675,52146,2019-8-22 15:40,0.0,844.0,高山,36.155,137.2533,高山:  0.0mm
676,52152,2019-8-22 15:40,0.0,887.0,丹生川,36.1883,137.3717,丹生川:  0.0mm
677,52173,2019-8-22 15:40,0.0,885.0,ひるがの,36.01,136.895,ひるがの:  0.0mm
678,52181,2019-8-22 15:40,0.0,875.0,六厩,36.06,137.0333,六厩:  0.0mm
679,52192,2019-8-22 15:40,0.0,848.0,船山,36.035,137.26,船山:  0.0mm
680,52196,2019-8-22 15:40,1.5,878.0,宮之前,36.015,137.3883,宮之前:  1.5mm
681,52221,2019-8-22 15:40,0.0,873.0,長滝,35.925,136.8317,長滝:  0.0mm
682,52286,2019-8-22 15:40,0.0,851.0,萩原,35.8883,137.2067,萩原:  0.0mm
683,52321,2019-8-22 15:40,0.0,888.0,関市板取,35.7233,136.7833,関市板取:  0.0mm
684,52331,2019-8-22 15:40,0.0,853.0,八幡,35.7567,136.9783,八幡:  0.0mm
685,52346,2019-8-22 15:40,0.0,871.0,宮地,35.7633,137.2883,宮地:  0.0mm
686,52381,2019-8-22 15:40,0.0,854.0,樽見,35.6383,136.6033,樽見:  0.0mm
687,52406,2019-8-22 15:40,0.0,855.0,金山,35.6633,137.16,金山:  0.0mm
688,52421,2019-8-22 15:40,0.0,881.0,付知,35.6567,137.4267,付知:  0.0mm
689,52461,2019-8-22 15:40,0.0,867.0,美濃,35.5567,136.91,美濃:  0.0mm
690,52476,2019-8-22 15:40,0.0,858.0,伽藍,35.515,137.23,伽藍:  0.0mm
691,52482,2019-8-22 15:40,0.0,879.0,黒川,35.5983,137.3183,黒川:  0.0mm
